Produit,Allergène,Score,Lien,pix,Description,composition
HERTA     Tarte en Or Pâte feuilletée sans additif 230g,"ble,gluten",D,https://www.auchan.fr/herta-tarte-en-or-pate-feuilletee-sans-additif/pr-C1457520,2641,na,na
12 AUCHAN     Pâte feuilletée 690g2+1 offerte,"presence de   ble ou hybrides et produits a base de ces cerealestraces de   lait et produits a base de lait  y compris lactose,oeufs et produits a base  oeufs",D,https://www.auchan.fr/auchan-pate-feuilletee/pr-C1219886,2642,na,na
50 AUCHAN     Pâte feuilletée 2x230g,"presence de   ble ou hybrides et produits a base de ces cerealestraces de   lait et produits a base de lait  y compris lactose,oeufs et produits a base  oeufs",D,https://www.auchan.fr/auchan-pate-feuilletee/pr-C1220059,2643,na,na
9 AUCHAN ESSENTIEL     Pâte feuilletée 230 g,presence de   ble ou hybrides et produits a base de ces cerealestraces de   lait et produits a base de lait  y compris lactose ,D,https://www.auchan.fr/auchan-essentiel-pate-feuilletee/pr-C1222115,2644,na,na
28 AUCHAN BIO     Pâte feuilletée 230g,presence de   ble ou hybrides et produits a base de ces cereales,D,https://www.auchan.fr/auchan-bio-pate-feuilletee/pr-C1219790,2645,na,na
69 AUCHAN     Pâte feuilletée 230g,"presence de   ble ou hybrides et produits a base de ces cerealestraces de   lait et produits a base de lait  y compris lactose,oeufs et produits a base  oeufs",D,https://www.auchan.fr/auchan-pate-feuilletee/pr-C1222222,2646,na,na
15 VITE BON!     Pâte feuilletée 230g,"ble, lait, oeuf",na,https://www.auchan.fr/vite-bon-pate-feuilletee/pr-C1186764,2647,na,na
1 PIERRE SCHMIDT     Pâte feuilletée 500g,presence de gluten,na,https://www.auchan.fr/pierre-schmidt-pate-feuilletee/pr-C1222260,2648,na,na
AUCHAN     Pâte feuilletée pur beurre sans additif 230g,"presence de   ble ou hybrides et produits a base de ces cereales,lait et produits a base de lait  y compris lactose ",D,https://www.auchan.fr/auchan-pate-feuilletee-pur-beurre-sans-additif/pr-C1464484,2649,na,na
54 AUCHAN     Pâte brisée 230g,presence de   ble ou hybrides et produits a base de ces cerealestraces de   lait et produits a base de lait  y compris lactose ,D,https://www.auchan.fr/auchan-pate-brisee/pr-C1222221,2650,na,na
HERTA     Tarte en Or Pâte brisée sans additif 230g,ble,D,https://www.auchan.fr/herta-tarte-en-or-pate-brisee-sans-additif/pr-C1458579,2651,na,na
